,title,description,date,aid,bvid,time,length,play,typeid,comment,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like,dislike,no_reprint,copyright,typename,section,sub-section
109,哪有什么基建狂魔，全是朴实善良的劳动者,"湖北经视
【哪有什么所谓的基建狂魔，全是一个个朴实善良的劳动者】只不过心存善良与感恩，才有了超越人类极限、缔造世界奇迹的“魔力。#抗击疫情 央企行动# 从大年初一到今天，运输师傅杨师傅连夜将300个集装箱送到现场。杨师傅介绍，集装箱宽3米，长6米。他不辞日夜，要为武汉加油！河南驻马店的刘海龙师傅，今年没有回家，自愿到工地来支援！他说自己虽是白班，但工地上没有具体上班和下班的时间，有事情就要去做。“我今天的任务是看护这个修路用的定位旗，不能让人碰倒。我在这里没有认识的人，我是自愿过来的”",2020-01-27 11:25:44,85286739,BV1m74116775,1580124344,00:37,695746,96.0,2886.0,695746,2803,2886,4009,9243,1845,0,0,80248,0,0,2,星海-科技,科技,星海
110,【节瑞】鼠年贺岁曲【肥皂菌、云雀、墨雨晨、冬子、少年霜、小时姑娘、傅小司_Taboo、Braska、宁采臣】,"节瑞（鼠年贺岁曲）
策划：丝齐
词：五味酥、迟溪、如一、璃诗音、白祺、秦筠晏、浮澜、小玖州、杜衡无香、丝齐
曲：潮汐soron
编：安念Lanny
唱（按出场顺序）：肥皂菌、云雀、墨雨晨、冬子、少年霜、小时姑娘、傅小司_Taboo、Braska、宁采臣
修音对轨&和声：巫汐
混音：牧子Assyria
母带：子棋
美工&题字：侑景
曲绘：不维
PV：微醉
监制：李星月
特别鸣谢：林栀瑶/@共青团中央
出品：予你诗话工作室",2020-01-27 11:47:01,85289169,BV1U741167YK,1580125621,05:17,95232,28.0,488.0,95233,505,488,2281,3124,838,0,0,17635,0,1,1,原创音乐-音乐,音乐,原创音乐
111,习近平：我相信，我们一定会战胜这一次疫情！,"央视时政
习近平：我相信，我们一定会战胜这一次疫情！",2020-01-28 12:25:40,85454560,BV1z7411r7Ko,1580214340,01:52,386845,96.0,34.0,386845,0,34,2162,5785,1695,0,0,55255,0,0,2,星海-科技,科技,星海
112,【仁心】献给前线抗击肺炎的医护人员们的一首歌！,"作曲/作词：塔库
编曲：Mzf小慕
演唱/和声：KBShinya
和声：雾敛
混音：Mr. 曾经
医者仁心，感谢各位医护人员以及所有“逆行者”放弃休息时间奔赴前线，不顾自身安危抗击肺炎！！！惟愿疫情消退，重现活力生机！",2020-01-29 02:00:40,85497778,BV1p7411z7NU,1580263240,04:01,143725,28.0,877.0,143725,962,877,4128,8523,1630,0,0,33325,0,1,1,原创音乐-音乐,音乐,原创音乐
113,【Lao乾妈、双笙】2020同心同行 防疫知识小科普,"《2020 同心同行》
——防疫知识小科普系列

统筹：子秦 
演唱：双笙 李常超 
作曲：徐璨 
编曲：刘东 
混音：吴芷楠 
画师：明晨 
视频：卢蔚然
监制：河南电视台总编室

关注防疫新情报，这些知识要记牢
出门一定戴口罩，深色朝外佩戴好
金属鼻夹要压牢，紧贴面部别松掉
医用外科N95，防止飞沫最有效

买口罩，不哄抢
用完丢弃要妥当
消毒后，密封装
“有害垃圾”分类好

开窗通风勤洗手，宅家娱乐多运动
谢绝聚餐串门走，视频也能见亲友
饮食安全要讲究，拒吃野味忌半熟
咳嗽喷嚏掩鼻口，消毒酒精常备有",2020-01-29 07:30:18,85568881,BV1C7411z7An,1580283018,03:21,107199,28.0,768.0,107199,699,768,1604,3457,1474,0,0,18364,0,1,1,原创音乐-音乐,音乐,原创音乐
114,【排骨教主】与共 - 武汉加油，中国加油！,【排骨教主】与共 - 武汉加油，中国加油！,2020-01-29 08:00:45,85538292,BV1v7411z7K3,1580284845,03:31,320662,31.0,2103.0,320662,4805,2103,9995,19308,3081,0,0,47289,0,1,1,翻唱-音乐,音乐,翻唱
115,【凉风辟谣】开局一张图，内容全靠编！别再信谣传谣啦！,开局一张图，内容全靠编！别再信谣传谣啦！,2020-01-29 14:00:57,85542896,BV1x7411z7Ci,1580306457,07:46,3736888,124.0,24769.0,3736911,37952,24769,69134,230153,39087,0,3,449409,0,1,1,趣味科普人文-科技,科技,趣味科普人文
116,【天府事变】武汉加油！我们在一起,【一起转！我们在一起！#武汉加油MV#发布】“白衣的天使在拼命地守护着，装上翅膀是一辆辆的救护车，逆行奔波在所有困难面前，一定要相信明天会好的！”一起转，武汉加油，中国加油！明天一定会好的！,2020-01-30 06:30:44,85695455,BV1p741167GG,1580365844,02:57,264510,28.0,1153.0,264511,3079,1153,7640,12457,2595,0,0,34344,0,1,1,原创音乐-音乐,音乐,原创音乐
117,【张大哥保重】金银潭医院院长回应身患渐冻症：坦然面对,"央视新闻
【金银潭医院院长回应患渐冻症：坦然面对，对待疫情也是一样】武汉金银潭医院院长张定宇，近一个月几乎没休息过。提到自己的渐冻症，张院长说：我现在还是坦然地对待自己的疾病，就像坦然对待疫情一样。如果幸运的话，我会有8到10年以上的时间，如果不幸，最多五六年，但我会用好这些时间。转起！祝福！",2020-01-30 07:37:05,85736649,BV197411q7FE,1580369825,01:00,312597,96.0,1010.0,312597,1198,1010,1793,4137,1044,0,0,41091,0,0,2,星海-科技,科技,星海
118,省委书记照样被拦下，村口大爷有多敬业！,【省委书记照样被拦下，村口大爷有多敬业！】大年初六，江苏省委书记娄勤俭到南京市江宁区汤山街道葛巷村检查疫情，被几位老同志拦住，吃了“闭门羹”。他问：“村里有发热的病人吗？”老同志回答说：“没有！连在外打工的人都没回来。”说完，老同志又连声催促：“如果没什么事，你们早点离开吧。”,2020-01-31 09:36:22,85924266,BV1Q7411B7se,1580463382,00:11,878197,21.0,4278.0,878211,420,4278,2308,4284,2804,0,0,51305,0,1,1,日常-生活,生活,日常
